stratum,n,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,flip_to_correct,flip_to_wrong,flip_to_correct_rate,flip_to_wrong_rate,net_gain,mcnemar_exact_p,method,stratification
counting,7,0.5714285714285714,0.8571428571428571,28.57142857142857,2,0,0.2857142857142857,0.0,2,0.5,E1,presence_of_contradicted_type
attribute,38,0.7631578947368421,0.9736842105263158,21.052631578947366,9,1,0.23684210526315788,0.02631578947368421,8,0.021484375,E1,presence_of_contradicted_type
spatial,38,0.5526315789473685,0.7631578947368421,21.052631578947366,12,4,0.3157894736842105,0.10526315789473684,8,0.076812744140625,E1,presence_of_contradicted_type
object_existence,301,0.6046511627906976,0.7840531561461794,17.94019933554818,72,18,0.23920265780730898,0.059800664451827246,54,8.070744444115692e-09,E1,presence_of_contradicted_type
action,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.0,E1,presence_of_contradicted_type
text_ocr,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.0,E1,presence_of_contradicted_type
attribute,38,0.7631578947368421,0.7894736842105263,2.631578947368418,3,2,0.07894736842105263,0.05263157894736842,1,1.0,E12b,presence_of_contradicted_type
spatial,38,0.6052631578947368,0.631578947368421,2.631578947368418,4,3,0.10526315789473684,0.07894736842105263,1,1.0,E12b,presence_of_contradicted_type
object_existence,301,0.574750830564784,0.5913621262458472,1.661129568106312,26,21,0.08637873754152824,0.06976744186046512,5,0.5600646295802107,E12b,presence_of_contradicted_type
counting,7,0.5714285714285714,0.5714285714285714,0.0,0,0,0.0,0.0,0,1.0,E12b,presence_of_contradicted_type
action,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.0,E12b,presence_of_contradicted_type
text_ocr,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.0,E12b,presence_of_contradicted_type
