method,operating_point,coverage,threshold,corrected_accuracy_kept,corrected_error_kept,delta_accuracy_pp_kept,value
E1,AURC_like,,,,,,0.17622511147615255
E1,coverage~0.6,0.6105,0.225,0.8058968058968059,0.1941031941031941,15.970515970515976,
E1,coverage~0.7,0.7120000000000001,0.275,0.8026685393258427,0.1973314606741573,16.15168539325843,
E1,coverage~0.8,0.806,0.30000000000000004,0.7959057071960297,0.20409429280397018,15.384615384615385,
E1,coverage~0.9,0.9155000000000001,0.35000000000000003,0.7962861824139814,0.2037138175860186,15.783724740578918,
E12b,AURC_like,,,,,,0.3458441289963461
E12b,coverage~0.6,0.6143333333333333,0.225,0.6706471159847366,0.3293528840152634,2.549041295022007,
E12b,coverage~0.7,0.7141666666666667,0.275,0.6574046924642735,0.3425953075357265,1.8418391415740754,
E12b,coverage~0.8,0.8065000000000001,0.30000000000000004,0.6672853495583947,0.33271465044160536,2.7274543093977806,
E12b,coverage~0.9,0.9151666666666666,0.35000000000000003,0.6654523372208797,0.33454766277912035,3.0051170051211904,
